RoundLeft,participant,date,expName,psychopyVersion,OS,frameRate,inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,left,right,rawFixations,repeats,points,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ic_trials.thisRepN,ic_trials.thisTrialN,ic_trials.thisN,ic_trials.thisIndex,ic_trials.ran,path
TRUE,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,space,1.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,-0.181293403,-0.211232639,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,-0.181293403,-0.211232639,0,0,0,0,0,0,26,1,-0.66,-0.22,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,-0.181293403,-0.211232639,0,0,0,0,1,1,19,1,0.22,0.44,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,-0.181293403,-0.211232639,0,0,0,0,2,2,11,1,0,-0.22,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,-0.181293403,-0.211232639,0,0,0,0,3,3,17,1,0.22,0,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,-0.181293403,-0.211232639,0,0,0,0,4,4,8,1,-0.22,0.22,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,-0.181293403,-0.211232639,0,0,0,0,5,5,10,1,0,-0.44,,,,,,,,,,,,,,,,,,
,6491d720871d9f5e16eafb93,2023-07-19_22h30.41.025,prioq-eyetrack,2023.1.2,MacIntel,59.99880002,,,,,,,,-0.181293403,-0.211232639,0,0,0,0,6,6,16,1,0.22,-0.22,,,,,,,,,,,,,,,,,,
