RoundLeft,participant,date,expName,psychopyVersion,OS,frameRate,inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,left,right,rawFixations,repeats,points,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ic_trials.thisRepN,ic_trials.thisTrialN,ic_trials.thisN,ic_trials.thisIndex,ic_trials.ran,path,ic_trials.order
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.437238849,-0.007254763,1,0,0,calibration_square,0,19,19,2,1,-0.44,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.662046786,-0.005884354,0,0,0,,0,20,20,27,1,-0.66,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006213266,-0.443369321,1,0,0,calibration_square,0,21,21,10,1,0,-0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.218806684,-0.22281562,1,0,0,calibration_square,0,22,22,6,1,-0.22,-0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.420212301,-0.156453394,0,0,0,,0,23,23,25,1,-0.66,-0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.441553554,-0.435305843,1,0,0,calibration_square,0,24,24,0,1,-0.44,-0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006432371,-0.21294663,1,0,0,calibration_square,0,25,25,11,1,0,-0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.213917146,-0.21059186,0,0,0,,0,26,26,16,1,0.22,-0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.656137311,-0.443203057,1,0,0,calibration_square,0,27,27,29,1,0.66,-0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006370488,0.439467628,1,0,0,calibration_square,0,28,28,14,1,0,0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.118868566,-0.064916766,0,0,0,,0,29,29,12,1,0,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.444418194,0.222999375,0,0,0,,0,30,30,3,1,-0.44,0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.02175406,0.477000025,0,0,0,,0,31,31,9,1,-0.22,0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.444927979,0.221619415,1,0,0,calibration_square,0,32,32,23,1,0.44,0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.436922087,-0.000314501,0,0,0,,0,33,33,22,1,0.44,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,,,,,,,,,,,,,,Icecreams/c1-sc1-1.png,Icecreams/c1-sc1-1.png,"[{""x"":1274.7,""y"":618,""timestamp"":1689821715546}]","[0,0]",0,[],[],[],[],[],[],[],0,0,0,52,1,Icecreams/c1-sc2-sp1-t3-1.png,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,,,,,,,,,,,,,,Icecreams/c1-sc2-sp1-t3-1.png,Icecreams/c1-sc1-1.png,"[{""x"":1274.7,""y"":618,""timestamp"":1689821715661}]","[0,0]",0,[],[],[],[],[],[],[],0,1,1,170,1,Icecreams/c1-sc3-U1.png,
