weights,sigma,mu,B,M
0,2.7507831530364886,1.3781820630234758,0.33243222410161344,0.03210405841201665
0.01,8.736443201570488,3.082013857610398,0.4784405710191738,-0.0158276018760143
0.02,9.94967170426399,3.14546291463644,0.51959823152997,0.06163058470333331
0.03,3.847199485355028,1.6896350909275841,0.38967470757922046,0.040197876847888586
0.04,9.845314941250084,4.221811389871288,0.3997620707320764,0.0610549580906184
0.05,7.722394917103827,2.776669999692576,0.4710633715102648,0.17184848176614897
0.06,8.881564277975295,3.2455582954612425,0.4647438787218379,0.04149675860428882
0.07,6.086611553780461,2.316136105181867,0.4487193477215782,-0.003941158167769224
0.08,3.2775016319653645,1.3140923259618946,0.42760952383729367,0.12640320576110584
0.09,4.545640276777283,1.7744353118746699,0.4384765539637637,0.22959640306606133
0.1,4.073287719981399,1.6600102469565488,0.4209230859692678,0.19276835807619905
0.11,8.358007319101374,3.2353698052502513,0.4418589561009914,0.012631944089780675
0.12,19.928183917489264,5.950045544792113,0.5401504918669526,-0.03016492285839623
0.13,2.7016372772346666,1.2259274486864202,0.37573151087972584,0.08548547347021347
0.14,6.317875918926569,2.064794147418451,0.5073659988818492,0.050281466624892475
0.15,3.7685998660663715,1.6339650696167272,0.3951150651333618,0.21049051259370802
0.16,6.2194575624972535,2.6213231277729556,0.4069928392957709,0.07166708381838995
0.17,2.81592758692559,1.1989097927102241,0.40276047105102064,0.22033327317499213
0.18,8.473119463429075,2.8875837901289025,0.49165404188784523,0.029623002820494407
0.19,11.44592245073537,3.348870875978871,0.5472906174455336,0.09149739579221468
0.2,7.784035737535343,3.0746225945182366,0.4337011994488703,0.20051004556071486
0.21,6.846878270529821,1.904560202551492,0.5647435085306813,0.0679683692272764
0.22,8.531646564964808,2.867426740652069,0.49690178073700975,0.10120679837890725
0.23,11.117596381272206,3.8405718927999537,0.4864916850204133,0.083936420598168
0.24,6.757971650623178,2.7446637283572928,0.42233630589922405,0.04471146018966579
0.25,3.4754023113707664,1.277592734746478,0.4624051898433377,0.04690817601569268
0.26,3.835168767702356,1.792120874420156,0.3630607314024091,-0.025209866564169313
0.27,4.273234844786965,1.73920269450265,0.42146502707514494,0.12128518492286927
0.28,10.568439687071713,3.1008041808702442,0.5463093334456544,0.047947652557586
0.29,14.61730048558253,4.749400780989696,0.5095291949189747,0.1966053020636929
0.3,6.891635349290328,2.241774969559576,0.5091045094223108,0.17081716946271963
0.31,8.353791735778893,3.163742938341222,0.4506215040185382,0.03803562846708116
0.32,7.693523138756449,2.468810469746404,0.5141252856173225,0.05589047999806997
0.33,6.26214480618174,2.299321150972389,0.4628674195565699,0.04485538965771605
0.34,8.312301455832607,2.5862443439391414,0.5253964351843518,0.10849593547621782
0.35000000000000003,14.715827705007273,4.527628372287705,0.5294370871737769,-0.007199204734160163
0.36,5.1183744607857236,1.7534972568614933,0.48965949048249885,0.11934893369762412
0.37,3.964694730608396,1.8274752407054555,0.36898424951057673,0.14561641024539165
0.38,3.441443765108475,1.3995934060869082,0.4217795250924252,0.05098911454512298
0.39,7.450731366243821,2.78572053686184,0.45572536983900186,0.020190939945621524
0.4,4.818441039479618,2.0317606854068107,0.40680267034311435,0.03964205937219113
0.41000000000000003,9.59060418253984,3.4808640770018426,0.4674103921782556,-0.06962401142353061
0.42,1.6768446657091716,0.6824217231908937,0.4214966767622611,0.11077732776273311
0.43,10.234606055910104,2.9732826922476425,0.5497716934264215,0.09642913947501537
0.44,9.72048105140674,3.7731268271669487,0.44075344991190324,0.028145423319952054
0.45,7.846929567981477,3.2456646062908603,0.41480512938646796,0.03193824888616952
0.46,12.447527876990343,4.041393290692997,0.509805007908737,0.07200649935621263
0.47000000000000003,6.482008162325298,2.9882580834902153,0.36891783062369704,0.03206235650982556
0.48,3.353550180346235,1.4575364913009248,0.3940926070234725,0.16640397308998295
0.49,3.0021908384804243,1.3391668146124702,0.3830654271672764,0.11421148830754163
0.5,10.197537440953063,3.346098786993997,0.5058788156035409,0.07739601498186247
0.51,6.356311856051712,2.373639667531488,0.45620782403675253,0.09714596042555623
0.52,5.150898155400803,2.2015617441391657,0.40113600775247643,0.031215984950325057
0.53,6.578418827833621,2.7371385077690498,0.4123511006028347,0.23355065485645998
0.54,3.4417130900905786,1.4164978010189926,0.4168644248807085,0.17787024823281747
0.55,8.12979518424897,2.769929864491054,0.49174316744599905,-0.04058934743440153
0.56,5.5038346825607425,1.8914574855477158,0.4884698420153139,0.032230195148210204
0.5700000000000001,4.138065166764588,1.9422817073335934,0.3611279923493948,0.21713035902365788
0.58,3.429553376828377,1.384902284414996,0.42468998289317156,0.1417971658512366
0.59,6.765809936323465,2.34626804114891,0.4850202013306854,0.049545762343444155
0.6,5.019296406608277,1.705326520907875,0.4928112581807573,0.015119569417241043
0.61,7.534099431419291,2.922358199725956,0.4410424059824008,0.002291334474728209
0.62,4.372071220643293,1.9888795013764156,0.3746596732807535,0.06470381645193739
0.63,5.344651513359454,1.832752457701307,0.48929934413864645,0.0023597750711899794
0.64,3.8124784951048594,1.7586891964383726,0.36864611018333576,0.24550368687659713
0.65,2.8130614038752997,1.1910219066517667,0.4050963407677,0.10730274455399819
0.66,5.673287345554473,2.447945409258989,0.39714930401222903,0.15769636370520382
0.67,3.3961309543892937,1.4971756578149575,0.38807200264913055,0.08485013645653545
0.68,14.966576797453426,4.572242795621544,0.5319837235979131,0.0967145429588393
0.6900000000000001,5.166655807932059,1.9139633047320272,0.4593796744951876,0.12194747650136765
0.7000000000000001,7.00084265829628,2.8457593307956937,0.4219814441675992,0.09492564032280405
0.71,8.831562147313582,3.499282109704362,0.43243430266945593,0.11684784370618168
0.72,4.773662190019929,1.69287993797319,0.47641880174417955,-0.020228494290392182
0.73,8.341776759597007,3.033219924771372,0.46668645118118596,0.046171262034335296
0.74,2.614522929458892,1.1304798670432639,0.39627288497667584,0.1710370019152083
0.75,3.5959068030837043,1.347817058005904,0.4547361074860513,0.10619017693040106
0.76,6.613737528103591,2.094517328306751,0.5189581924638023,-0.015168934232594317
0.77,2.7871979710198795,1.1161199503862576,0.42811732333389596,0.09966823819398242
0.78,10.684549865456868,3.1221789241400875,0.5477308243365256,0.0487030655873457
0.79,4.601006719804784,1.8488626901895229,0.4266976359786004,0.07065596845435813
0.8,6.209726492678402,2.2107842876523875,0.4749049445274768,0.09853455845783878
0.81,14.823093911894578,4.000446310295494,0.5749528236373325,0.15737629263276426
0.8200000000000001,12.55036966557687,4.3351928810191405,0.48652076363389163,0.06837062525141262
0.8300000000000001,3.57672076574158,1.3020117598359218,0.4662499930012863,0.05964076952840957
0.84,1.584277040986946,0.7907607757679976,0.33410679174074953,0.12083970664082944
0.85,2.2636161492264852,1.0999120329150143,0.34597721597520875,0.2579427590294524
0.86,17.39727895209459,6.172762382494202,0.47621963874660356,0.10361151231418979
0.87,9.504258601723912,3.57750009305577,0.45305517759116243,0.1784705023532751
0.88,1.923259034367322,0.9124544278811246,0.3564551284687018,0.13954550554065612
0.89,6.674917062512649,2.1253610899172637,0.5169786561052246,0.05104148877727608
0.9,3.970451282982099,1.7274968027227586,0.39364249138852553,0.0817770022803487
0.91,5.62042848084363,2.0964535392742327,0.45665787456415907,0.1259804670608177
0.92,8.379764818266143,2.4920944084011856,0.541551383908948,0.17009590270056216
0.93,7.0777012422900984,2.460177928288927,0.48412474423502805,-0.005656802059972695
0.9400000000000001,8.71218769947963,3.100660258232181,0.4750359491069266,0.04842016232290559
0.9500000000000001,10.246656997718516,3.2028280845570336,0.5237248021074217,0.1925733013636679
0.96,3.166066069849087,1.4709998104511068,0.3655471591635539,0.11797880988675422
0.97,5.386178874342003,2.281217880824032,0.40495634863631547,0.07682831268864186
0.98,8.058545591194942,2.684223800408875,0.5002734020322968,0.12487501770771457
0.99,10.328894008878713,3.5090575649749183,0.4928356922992604,0.11534009209363112
1,6.271784363256552,2.1745280384704535,0.4850941014149959,-0.0218202462952825
