weights,sigma,mu,B,M
0,2.7517249091889835,1.3781820630234758,0.3325844517581659,0.03210405841201665
0.001,8.753695402762359,3.082013857610398,0.4792008168147022,-0.017008432114542067
0.002,9.944548651024945,3.14546291463644,0.5194102161242037,0.06576539330483701
0.003,3.8844433033139714,1.6896350909275841,0.39375266315841384,0.025519480690516298
0.004,9.625604235873105,4.1513911748553065,0.3973444788081241,0.049002837412447604
0.005,7.996308180884161,2.8125117768033916,0.47958948565832116,0.1431141918346974
0.006,8.886936574143325,3.2650418261340115,0.4626320556890563,0.022066012825262375
0.007,6.188552887415976,2.3161361051818665,0.45532726541846663,0.03894238711602818
0.008,3.235681997449327,1.3140923259618946,0.4223483484883507,0.15972482002039157
0.009000000000000001,5.600282514462543,1.9118741755359814,0.4909919336263586,0.10704886520478822
0.01,4.133337478572531,1.6898711248058171,0.41960824696356075,0.1033566238318477
0.011,8.46727460153977,3.2351564531873294,0.4470966864819913,-0.0017874440798108589
0.012,20.773381875266217,6.3614241768053,0.5311244042358166,-0.055831755286908785
0.013000000000000001,2.675573237527556,1.2259274486864202,0.3715610749380323,0.06206012805513716
0.014,6.31788079253021,2.075597789925282,0.5054260829916669,0.033618819687704395
0.015,3.7931668261730542,1.65034028105617,0.39364815787070684,0.14741685948975616
0.016,5.79075357176789,2.5574714166460906,0.38730175092418867,0.058759235161618975
0.017,2.8938497095509033,1.2118453614774007,0.4096759060219811,0.1960296188791387
0.018000000000000002,8.895264868628699,2.986958691523096,0.49723910236125235,0.11733830805495742
0.019,11.394037182251951,3.348733599522138,0.5457117730322381,0.06612115319665554
0.02,7.942134372530799,3.0746225945182366,0.44182800733203265,0.1870905366319002
0.021,6.101634769976537,1.8189186584709836,0.5407092004611341,0.05827090274015031
0.022,8.641178684102846,2.86590044284421,0.5018891568872765,0.17010385862830085
0.023,12.008676746636588,4.107786633871841,0.49023721434568834,-0.0029871213985668277
0.024,7.129787050833075,2.719969667010133,0.447708254137322,0.009926195388904184
0.025,3.348085354955355,1.243112061538028,0.4584802400034982,0.11728435638043876
0.026000000000000002,4.837446907088687,1.9748970566559143,0.42020042817381315,0.08530163684789734
0.027,4.313646875259545,1.747449900626785,0.4233882199080212,0.10609436082482634
0.028,10.429926477236535,2.898033424975538,0.5651197263139208,-0.007599482306232818
0.029,15.570792838991037,4.906892467195093,0.52075711743526365,0.03180591207096422
0.03,7.077076814095754,2.3545946162442553,0.5007046982849841,0.04632189787481169
0.031,8.4720828420963,3.193750962814473,0.4524607471314991,0.005988436746457415
0.032,7.38185330420951,2.5007043813220173,0.4939155508329282,0.05414534631169209
0.033,6.621005197399918,2.444667033117838,0.4606760599862943,0.09944532604881577
0.034,8.091215041638103,2.612949888919618,0.5117881860246197,0.07566366819354836
0.035,14.879307364766754,4.585629703465534,0.528831797668691,0.07503154830192273
0.036000000000000004,4.678512819895218,1.7534972568614933,0.45475916985948506,0.10031035774753248
0.037,4.225206494018422,1.8756087313758618,0.38512849116663916,0.15001468650642572
0.038,3.2084989928238428,1.3672217814059906,0.40240156737443583,0.07980325155058401
0.039,7.488374331079864,2.7963790370810506,0.456208829326339,0.07695081737614166
0.04,5.590369906478756,2.164627108792546,0.44174650111923525,0.07430167821814827
0.041,9.785192973300106,3.4559386689051905,0.47799949999898833,-0.02229342507589888
0.042,1.6401967033172609,0.6824217231908937,0.41236863067787455,0.13102336473186232
0.043000000000000003,10.571243729927057,3.1563748840659915,0.5401423986461007,0.05142416382139623
0.044,9.755001559327875,3.6460177826076374,0.45585963431927373,0.06058546228804743
0.045,7.645979235331083,3.1910746066747793,0.4110807876019312,0.08505000364068405
0.046,11.644212642657711,3.7595216391654698,0.5118688013721704,0.02343528852811915
0.047,6.549400151995263,3.0279601730448364,0.3676837729226484,0.10033071733151587
0.048,3.320301087536357,1.4575364913009248,0.3898760821184608,0.23205183567404428
0.049,2.793208005645453,1.3258614472135481,0.35623253631070373,0.07718819356985676
0.05,11.014267562144136,3.3374621204371704,0.5349045454099031,0.07737432728351538
0.051000000000000004,6.034376580068263,2.285979653853831,0.4505091874470731,0.05209394676908302
0.052000000000000005,6.867511884778389,2.4975773929937395,0.4666196297943054,0.03243829984042751
0.053,6.666468660047713,2.777673660311966,0.4117679369731949,0.012064819181237661
0.054,3.59232781222327,1.4344707126524525,0.4292706558443509,0.25733109390010905
0.055,8.266053246859245,2.6172707911211166,0.5190309905342471,0.037777189936388365
0.056,5.4661101529756,1.8936565270488208,0.48540310871851244,0.06469684216194416
0.057,5.072612096420034,2.15184893220023,0.40428803652604306,0.15142721149068325
0.058,3.4479257778802905,1.3654367475154559,0.43264745162605767,0.0833082048285165
0.059000000000000004,6.53855671403361,2.3291672705821767,0.47468656565699535,0.10797339636390281
0.06,4.608040919035531,1.649459129750367,0.4728057157361426,0.03968134267077281
0.061,7.123276548053804,2.8716329695236187,0.4253808972510542,0.1078565532969208
0.062,5.526929323649124,2.279204192854047,0.4160478582551744,0.05943868313907342
0.063,5.325065226656035,1.8343654400957803,0.4875666724130679,-0.009947553836141734
0.064,3.9431278912335372,1.7586891964383726,0.38311272725991385,0.15847604871706897
0.065,3.0813755153872098,1.1938713357146082,0.44149595225972826,0.11203961662508774
0.066,5.869877661352224,2.4945838166552234,0.4035279322609842,0.03849848616874927
0.067,3.1299274237651473,1.414795030623856,0.3773899089228047,0.13138296486792714
0.068,13.562354837555146,4.340201583973441,0.5151305230627103,0.023232414007183934
0.069,5.462480634813167,1.9139633047320272,0.48106070610223184,-0.008209503653115242
0.07,6.934101708375202,2.7982746034907175,0.42495552703217976,0.04524623131429411
0.07100000000000001,8.552569119085023,3.312559066274295,0.4416311371398844,0.00516821509545947
0.07200000000000001,6.40912173988929,2.1055024521689734,0.5054385479202212,0.009419553811700695
0.073,8.933227322829882,3.142245684894659,0.4795656148815702,0.08745250751927187
0.074,2.600015099735788,1.1088883134271366,0.4020397999626067,0.07229780149540764
0.075,3.419848431825018,1.3451260845357076,0.435411005906888,0.08566354116660337
0.076,6.629994605136348,2.097259371426259,0.5193770280872921,0.0191439951763998
0.077,2.7439351121771045,1.1161199503862576,0.4217077568603017,0.11544150284770167
0.078,10.294052258227634,3.1215147330685538,0.5346428913375417,0.02165844425592857
0.079,4.401724374376864,1.8505152786130166,0.4080472338490472,0.078298157489457
0.08,6.329385672227448,2.2107842876523875,0.4822622270895661,0.1035208246307367
0.081,14.259916903410492,4.04206833425196,0.5582918156950479,-0.010158227126917179
0.082,12.290681408223465,4.304040875822496,0.481275937957652,0.017077756112358355
0.083,2.644802562536062,1.1817947209636928,0.38232605450300267,0.22408164924562615
0.084,1.6127241634705576,0.7904083324532103,0.342184974158592,0.07590545599617578
0.085,2.255953124694096,1.1084319511250897,0.34107902267685547,0.11145861368830957
0.08600000000000001,16.632727906478326,6.151934028073735,0.45999338978608545,0.022846297797753008
0.08700000000000001,10.219378459400374,3.8777298099290727,0.44985457501724596,0.05222980043366947
0.088,2.152897626670503,0.9076499295726249,0.4068708864064965,0.06164718898097002
0.089,5.911244667896876,2.1709835658791126,0.46277598130513653,0.10428927164278103
0.09,3.634085663640595,1.6191057455334394,0.3835725297555784,0.12171417814144937
0.091,5.261751832818344,2.0872115091797987,0.4319711741514015,0.11871434353040926
0.092,8.757498890941863,2.8223387597717053,0.5125426029443878,0.08395110363061599
0.093,7.905999564560336,2.618577411253115,0.5023880926956261,0.12208919645407634
0.094,6.246943808657327,2.902125882005881,0.3655910425586651,0.075266324605074
0.095,9.945309093303221,3.20243035928764,0.5128546057920889,0.1155671551859669
0.096,3.665533042948702,1.5546929800510767,0.4043579825083208,0.15982108742237439
0.097,5.4635008143439885,2.282887391248874,0.41059308398702815,0.23349560656850848
0.098,7.846237848729688,2.7502144089907787,0.4809178879682111,-0.034813654177245704
0.099,10.55211215946681,3.5104705375811043,0.500736015110789,0.1289575033720474
0.1,6.135348124496306,2.2072030203754824,0.4708565804280956,0.048280592240740425
0.101,9.85420564442126,3.0219969130551227,0.5306074287717004,0.05072377419542369
0.10200000000000001,5.3672431955823106,2.122853160004305,0.4331573162150474,0.15026234040178374
0.10300000000000001,9.330668813372055,3.367910205173801,0.4695610902203972,0.0802547780253526
0.10400000000000001,11.824459612256197,3.6585366562563486,0.5274123182866561,0.06733738607893046
0.105,2.5529771624080393,1.207997512088162,0.35761465224437944,0.1002807358115446
0.106,10.97828999716841,4.127367398399893,0.4535335615898743,0.02910631723984563
0.107,4.157055387470999,1.4678644595426784,0.47808519962396223,0.11326743457582664
0.108,6.280668105562827,2.4134239656831933,0.4448128807687435,0.12461049765428556
0.109,5.517423948316056,2.1162099648746304,0.44555633949962303,-0.022069418555786872
0.11,13.892046944608943,4.526173658049858,0.5085112991429289,-0.019878432300567975
0.111,7.246666464408769,3.047005861643612,0.40798467930013516,0.07180465588028745
0.112,17.917152773615086,5.268595267399603,0.5455315689552338,0.027842709187183557
0.113,3.8938000146638405,1.826597573445874,0.3613739096587981,0.20559996971886127
0.114,3.4147263209242924,1.317374265622003,0.4432179783467015,0.10997366260683496
0.115,15.923410379827278,5.457901607055306,0.48946990620559455,0.10351295263660755
0.116,18.892406800546254,6.86796321542978,0.46678070142855743,0.03016463139077133
0.117,3.918051780488306,1.6690758468720233,0.4025281116906979,0.05179347239388433
0.11800000000000001,8.657984811882748,2.892905797980004,0.4991025548263974,0.07016817101804534
0.11900000000000001,9.639172564898724,4.02412565856626,0.4109583802166692,0.02651943977815562
0.12,5.270529943684769,1.8450599898493851,0.48140350776706853,0.111030093279492
0.121,7.879235136741659,2.4903278834055063,0.5196850863306364,-0.00564857453392491
0.122,2.782700150765898,1.2808780229932408,0.36958120738781064,0.07863580558836693
0.123,5.100435571562547,2.169282669203295,0.4032003449490587,0.08597760716466257
0.124,4.448626548759891,1.5495042039363673,0.4833376370664012,0.016463876943204194
0.125,7.081476082656235,2.6287673619386775,0.45855788746430487,0.05153125053697973
0.126,17.633963537229118,5.587408040892114,0.5187701964894724,-0.01692521559654319
0.127,4.1047165134452674,1.8706180451508467,0.37388675837078394,0.2186671347568766
0.128,7.6773960575515,2.849560258160747,0.45861649413181826,0.05354536898805089
0.129,12.217499659911516,3.6469611942068725,0.5402350917888108,0.006385948213967108
0.13,7.005586724470245,2.628450416977003,0.4543408171702043,0.16402535614884414
0.131,6.566149908590665,2.5250805328485475,0.4445019188296348,0.07050669219103023
